delta_e,delta_t,delta_a,delta_r
0.5235987855490356,0.14800679961476476,0.0,0.0
0.3419947152267193,0.13311576199947367,0.0,0.0
0.23689198089359012,0.11386369309924164,0.0,0.0
0.28776078858664356,0.09999999016769072,0.0,0.0
0.32979184072311146,0.0999999901451122,0.0,0.0
0.3645436078349745,0.09999999012642118,0.0,0.0
0.3933064211813652,0.09999999011086262,0.0,0.0
0.41714658664545995,0.09999999009810452,0.0,0.0
0.43694522989114654,0.09999999008745966,0.0,0.0
0.4534304064442264,0.09999999007863963,0.0,0.0
0.46720364426734773,0.09999999007135721,1.0574219074225381e-16,1.9949597657623108e-16
-0.25270546960360346,0.09999999002368176,-5.998355281063032e-21,-7.96152857256181e-21
-0.055870466774647104,0.09999999006017882,1.0566472831806515e-16,1.993931353612089e-16
0.45548177693363384,0.09999999005595099,1.05714601570862e-16,1.994593486833501e-16
0.17673249382362785,0.0999999900523733,-3.9315126838211486e-21,-5.1961862050586e-21
0.37887348177988406,0.09999999001790565,1.0533783517335805e-16,1.9895958128018597e-16
0.12093982180638015,0.09999999004681048,2.0979042079337186e-16,3.96747456509589e-16
0.3255182618303253,0.09999999004470209,2.0974737806626934e-16,3.966910870436524e-16
0.0847940430185779,0.09999999004297264,1.0353437834191458e-16,1.9659713182174743e-16
0.288684643210892,0.09999999004151247,-4.1801140007742185e-19,-5.4969205916321705e-19
0.06204039876540961,0.09999999004032252,-9.192805973982935e-20,-1.218795261833325e-19
-0.19995568661623322,0.0999999900392595,1.0397578872754926e-16,1.972042275776423e-16
-0.5235987712620142,0.09999999003835194,1.0348094011960216e-16,1.9652160321185023e-16
-0.29669771030133174,0.09999999003779073,1.0507914775258776e-16,1.9863539940729954e-16
-0.05042441844070374,0.09999999003756098,2.102832862749703e-16,3.9740166186486605e-16
-0.09095488258342024,0.099999990037574,2.1111096450994397e-16,3.98497883116604e-16
-0.2574940051206023,0.09999999003765613,2.097104747840999e-16,3.966785133675396e-16
-0.3990701778247924,0.09999999003771533,2.1119288556282498e-16,3.986068316576278e-16
-0.4250486975088927,0.09999999003777711,2.893912818898479e-16,5.591087700806405e-16
-0.4319305661541345,0.09999999001374936,2.9766655656370907e-16,5.724056881139191e-16
-0.4305006745778749,0.09999999003807433,-4.969185276510818e-19,-6.550178948982897e-19
-0.424078727394353,0.09999999003829033,-4.309989479972201e-20,-5.692191147035843e-20
-0.39760977701744527,0.09999999001397683,-2.773134662619141e-19,-3.650568752610305e-19
-0.3619190688493536,0.09999999003881434,-8.855727218653357e-19,-1.142428007544924e-18
-0.3266774164465084,0.09999999003911719,-4.304899525051657e-19,-5.673742830700208e-19
-0.29392408716641283,0.09999999003945229,-6.177425541463711e-19,-8.148780492833649e-19
-0.25903729963310385,0.09999999003982238,-1.2300807323158305e-18,-1.595270130611839e-18
-0.22315851449607454,0.09999999004020017,-3.464167372262025e-19,-4.584881891527168e-19
-0.19267379454282643,0.09999999004060807,-6.977184573790752e-19,-9.219697764919983e-19
-0.16249046183848762,0.09999999004104963,-1.0548639606556927e-16,1.0300811960838017e-16
-0.13395728689840838,0.09999999004149147,5.857963548486929e-17,2.0389437244773762e-16
-0.11115141942301633,0.09999999004196201,1.2047456309527563e-16,3.369344376905602e-16
-0.09130358668835764,0.09999999004246105,7.079363139666453e-17,2.6059367152952856e-16
-0.07380930874946028,0.0999999900155832,1.0096096852771758e-16,2.943802804558104e-16
-0.059382952005699395,0.09999999001577153,6.988612540405532e-17,2.4702991439696663e-16
-0.04796855550796353,0.09999999004400575,-1.359612850297756e-16,-2.592231362245271e-16
-0.03910783937951001,0.09999999004455938,6.550207907103073e-17,1.4044530947001632e-16
-0.03219771945466052,0.09999999001636145,-1.1675850900824384e-16,-2.7138970677560304e-16
-0.026651823684522975,0.09999999004566046,-3.4037189053946166e-19,-4.500914193650933e-19
-0.021985001052482526,0.09999999004622818,-3.052199349858513e-19,-4.034997645473158e-19
-0.017844074780325014,0.09999999004680281,-3.035735664378504e-19,-4.0135942019990354e-19
-0.01400317652075217,0.09999999004738402,-1.4524268258671728e-19,-1.9252959161600473e-19
-0.010340964410601117,0.09999999004797173,-1.0570890529464006e-16,-1.9945143145581322e-16
-0.006847816475046887,0.09999999001761876,-1.057657409558755e-16,-1.9952712489486691e-16
-0.003924655392396211,0.09999999004916675,-1.0577277632504017e-16,-1.9953630855963407e-16
-0.0008707842955029924,0.09999999004977486,-1.0577818445241576e-16,-1.9954261661162898e-16
0.002163138882058044,0.09999999005039069,-1.0582214464730535e-16,-1.996011307136217e-16
0.005062929131023926,0.09999999005101473,-1.0580081323394809e-16,-1.9957296457494366e-16
0.0077561576211484205,0.09999999005164739,-1.0582106032167128e-16,-1.9959993620051805e-16
0.010209240208918375,0.09999999005228906,-1.0579426743345295e-16,-1.995649388449644e-16
0.012420583822597076,0.0999999900529401,-1.0577879745764802e-16,-1.995444618016102e-16
0.014408424720541093,0.09999999005360076,-1.0577007733107327e-16,-1.995328857441056e-16
0.016193419418038736,0.09999999001968851,-1.0578038466551908e-16,-1.9954659019351158e-16
0.017807228339298764,0.09999999005495182,-1.0579820229331676e-16,-1.9957011484220485e-16
0.019305050256855756,0.09999999005564274,-1.0578130771250394e-16,-1.9954771172744165e-16
0.020732533596067308,0.09999999005634419,-1.0579607274631021e-16,-1.995665349672536e-16
0.022124163682469684,0.0999999900570563,-3.1657694675686543e-16,-5.976272924219698e-16
0.023503423057398037,0.09999999005777935,-4.22152616276071e-16,-7.969039672912137e-16
0.02488425696425468,0.09999999005851345,-4.2267584933572257e-16,-7.975950287327619e-16
0.02627282396978927,0.09999999002149794,-4.2297469342291454e-16,-7.979915609320223e-16
0.0272512289038994,0.09999999006001556,-4.2268409569741704e-16,-7.97606112643178e-16
0.028347836738364912,0.09999999002205126,-4.2267628868502914e-16,-7.975955196802497e-16
0.029602411804358117,0.09999999006156508,-4.222063035037683e-16,-7.969744311474933e-16
0.03091413842803603,0.09999999006235871,-4.2218705991939853e-16,-7.96949131133058e-16
0.03221544321817515,0.0999999900229151,-4.2218975847204265e-16,-7.96952643073625e-16
0.033467563371282,0.09999999002321253,-4.2217242588155834e-16,-7.969296921333725e-16
0.034654172093940144,0.09999999006484249,-4.950846058767185e-16,-9.518182615562094e-16
0.03577462869872028,0.09999999006568978,-3.7548113149299764e-16,-7.007861186965898e-16
0.03683762432464585,0.09999999006652663,-4.3946732922903066e-16,-8.759786509578259e-16
0.037856207864124906,0.09999999006740186,-3.605012851785641e-16,-7.51332453805583e-16
0.03884406697221733,0.09999999006829154,-3.733632581453843e-16,-7.68486802046302e-16
0.03981312673895649,0.09999999006919588,-3.036850583083824e-16,-5.905920327717769e-16
0.04077235562025416,0.0999999900701152,-3.17503636065663e-16,-7.099464076945728e-16
0.041727481592814204,0.09999999007104972,2.3288127380125246e-16,8.916983870364018e-17
0.04268033550755943,0.09999999007199982,-2.8502243154936685e-16,-6.797120249888526e-16
0.04329770169880531,0.09999999007296531,1.7595177561505967e-16,2.3591828367979405e-16
0.04400134696132765,0.0999999900739472,1.827124715048667e-16,2.4429674751950393e-16
0.0445729959600123,0.09999999007494519,2.387594280671134e-16,2.7824690899210324e-16
0.04468761492123625,0.09999999007595854,2.3863661835238944e-16,2.780831733523886e-16
0.044821043902160476,0.09999999007698959,2.9326736733146e-16,3.1471220260167957e-16
0.04494382067923907,0.09999999007803875,3.1496890092649344e-16,3.3914774086690845e-16
0.04504064132881275,0.09999999002869822,3.1509203858121817e-16,3.393114306036296e-16
0.04510657536045702,0.09999999008019304,3.149994744544837e-16,3.391889038897805e-16
0.045143711992420746,0.09999999008129895,3.1514990976820187e-16,3.3938912754047974e-16
0.045157905145498924,0.09999999008242454,3.837163063720916e-16,3.944180990504984e-16
0.04515642787577917,0.09999999003031759,2.1767565419097138e-16,3.2715715539362694e-16
0.04514623188177899,0.09999999003074066,3.1677057846908235e-16,5.978838143869246e-16
0.045132998559675404,0.09999999008597515,3.165052652105255e-16,5.975447822173614e-16
0.045120757532961714,0.09999999008717757,3.164007925387255e-16,5.974116144923969e-16
0.04511176761397585,0.09999999008840423,3.163466182965826e-16,5.973417671568039e-16
0.045106881574062486,0.09999999008965474,4.205947084212012e-16,7.94870409903717e-16
0.04510590250808306,0.09999999009092887,6.299561517980674e-16,1.1910728447417817e-15
0.04510799331705823,0.09999999009222758,6.304254029435856e-16,1.1917006903662321e-15
0.04511203881409881,0.09999999009355084,6.809505180338998e-16,1.3147067837239735e-15
0.045116922040432626,0.09999999009489921,4.928234049789975e-16,1.066497846504717e-15
0.04512170482720395,0.09999999009627325,7.098189828479527e-16,1.4600804171200984e-15
0.04512571890353407,0.0999999900976736,6.767910518356088e-16,1.4101122226811047e-15
0.045128586134832435,0.09999999009906589,5.088327056129428e-16,1.021595080376444e-15
0.045130184284490164,0.09999999010052085,4.1981703872648063e-16,8.318406895159473e-16
0.04513059811433397,0.09999999003700505,4.4223997804339527e-16,8.765878118649387e-16
0.04513002857195151,0.09999999003755375,3.4987014528790137e-16,6.615755492352294e-16
0.04512875777099367,0.0999999900381133,3.895395939190011e-16,8.488322742839362e-16
0.045127072899614006,0.099999990038684,2.913058978848468e-16,6.655382982094706e-16
0.04512522377475849,0.09999999010832923,1.9041971856677295e-16,5.653039983664928e-16
0.04512344337715679,0.0999999901099605,2.566902903634106e-16,6.79424421304521e-16
0.04512186865434276,0.0999999901116261,-6.367325874716772e-16,-1.1400335507600143e-15
0.04512059278344925,0.09999999011332683,-4.92081139268511e-16,-8.951623816915695e-16
0.04511965916332261,0.09999999011506357,-6.311920955930865e-16,-1.0873641739708292e-15
0.04511907459959191,0.09999999011681111,-6.193969679914421e-16,-1.0622241656814375e-15
0.04511881538702668,0.09999999011862465,-4.759434441956132e-16,-7.217755302901706e-16
0.045118848556603176,0.09999999012047694,-5.242651837180227e-16,-7.385653430060435e-16
0.045119134223769834,0.09999999012236914,-5.262374426086023e-16,-7.379530663249651e-16
0.04511963392599539,0.0999999901243024,-5.279951931726459e-16,-7.402451652910984e-16
0.04512031462547043,0.09999999012627793,-5.291523375021369e-16,-7.417945234054711e-16
0.04512115054088623,0.09999999012829701,-5.2494283080524455e-16,-7.362670429353173e-16
0.045122123345584915,0.099999990130361,-1.8432360513143842e-16,-2.290100811784349e-16
0.04512322129752733,0.09999999013247127,-4.505707881586822e-16,-5.595955439737247e-16
0.04512443780814831,0.09999999013462929,-3.178570433959977e-16,-5.993883188682773e-16
0.04512576985061437,0.09999999013683657,-6.2640445570592635e-16,-1.1865396877197425e-15
0.045127216484806304,0.09999999013909472,-6.282453891724815e-16,-1.1889406143983228e-15
0.04512877765954622,0.09999999014140537,-6.280443790957059e-16,-1.1886761530464042e-15
0.04513045335558851,0.09999999014377028,-6.271395942190523e-16,-1.1875017485532429e-15
0.04513224306244169,0.09999999014619125,-5.249373575806901e-16,-1.1019396688036187e-15
0.0451341455382009,0.09999999014867017,-3.2643029866015664e-16,-9.497800083701467e-16
0.04513615878010829,0.09999999015120903,-4.443273980060477e-16,-9.633000561093474e-16
0.04513828013125161,0.09999999015380988,-3.9564043653543376e-16,-8.948449552893041e-16
0.04514050645656861,0.09999999015647491,-3.790749365904641e-16,-8.729691434780118e-16
0.045142834336355776,0.0999999901592064,-3.9779037315581743e-16,-9.655191112905917e-16
0.045145260242089785,0.09999999016200668,4.0999945126423426e-17,-3.4186926241520505e-16
0.04514778067498365,0.09999999016487829,1.028129465438391e-16,-2.0662920886642444e-16
0.04515039226015513,0.09999999016782384,-2.5177984494740906e-16,-7.065089871308193e-16
0.045153091798561,0.09999999017084603,2.484515829711838e-16,5.18052580093889e-17
0.04515587628391576,0.09999999017394778,-1.1526474117980983e-16,-4.599840500060686e-16
0.045158742894483,0.09999999017713208,2.7871853676016373e-16,9.794298214584309e-17
0.04516168896957374,0.09999999018040213,-4.530842706266969e-17,-3.14512228037792e-16
0.045164711979278245,0.09999999018376125,4.5119694061311e-16,4.3931243505542013e-16
0.04516780949386864,0.09999999018721292,2.7954009689714765e-16,4.3248860635163246e-16
0.04517097915712271,0.09999999019076086,2.8045880877574146e-16,4.337171903424956e-16
0.04517421847940775,0.09999999019436001,2.9397578915566123e-16,4.47373469853618e-16
0.0451775256027996,0.09999999019810168,2.9663518622017174e-16,4.508791081003898e-16
0.045180898058911144,0.09999999020195065,3.2544965140038544e-16,4.568520247383853e-16
0.04518433364186626,0.09999999020591034,2.9658321483405216e-16,4.508377901816454e-16
0.045187830176318784,0.09999999020998489,2.813113791478865e-16,4.3490179626926802e-16
0.045191385517140976,0.0999999902141785,2.463909782783399e-16,4.3469531497317764e-16
0.04519499755203562,0.09999999021849545,2.6808347560764706e-16,4.227831565039993e-16
0.04519866420453535,0.09999999022293994,2.1123741590413415e-16,3.9864851938595466e-16
0.04520238343655866,0.09999999022751596,3.3736039692580545e-16,3.778886967892503e-16
0.04520615325006751,0.09999999023222714,-8.305121829103009e-18,-7.013340461534045e-17
0.0452099716876272,0.09999999023707642,2.0967336626766107e-16,3.9661080050072966e-16
0.04521383683157858,0.09999999024206566,2.1044131122904523e-16,3.976214322478286e-16
0.045217746801448695,0.0999999902471949,2.1029911060070722e-16,3.974525550071556e-16
0.045221699748638565,0.09999999025246137,2.1010964179216624e-16,3.972136238857392e-16
0.04522569384607329,0.09999999025785775,2.0999395640016738e-16,3.9706494472346154e-16
0.045229727267376535,0.09999999026336953,2.0977929476467903e-16,3.967872990263057e-16
0.04523380507378195,0.09999999009818705,2.1050811791118444e-16,3.9770408081942684e-16
0.04523791028757683,0.09999999010045207,2.1052329067362055e-16,3.9772558069078273e-16
0.04524204881097616,0.09999999028325157,2.1045687524303443e-16,3.976485367027906e-16
0.045246224318922876,0.09999999028991564,2.103744395436945e-16,3.975385522303866e-16
0.04525043124979459,0.09999999029681342,2.1029641254853486e-16,3.97440063635234e-16
0.04525466790858009,0.09999999030394092,2.0996101559785998e-16,3.9700109928775153e-16
0.04525893252777381,0.09999999031126738,2.0988287124737496e-16,3.968979777360877e-16
0.045263222757845285,0.09999999031867692,2.0973605436886843e-16,3.967056880472318e-16
0.04526754982292331,0.0999999901189212,2.1073612067779134e-16,3.9800236666355976e-16
0.045271883596835226,0.09999999033629788,2.1075330457618013e-16,3.980254669835177e-16
0.045276245152679445,0.0999999903451513,2.1072418837660744e-16,3.9798727082209787e-16
0.04528062398599734,0.09999999035439228,2.1109808590419954e-16,3.984809231428884e-16
0.045169852224387325,0.09999999013209605,2.1143697558861016e-16,3.9892894069073248e-16
0.044272896182528165,0.09999999037493507,2.1066060798832e-16,3.9790290009529064e-16
0.04402986190963538,0.09999999038684253,2.096327205820203e-16,3.9658554985047394e-16
0.04411756637903179,0.09999999040100079,2.0940337074498865e-16,3.962931964351525e-16
0.04431055561718413,0.09999999041461523,2.1022559437223104e-16,3.9737046555462513e-16
0.044470950002423015,0.0999999904245093,2.1088130402122766e-16,3.9819733440480517e-16
0.04453008115418981,0.09999999043881704,2.1083644178723036e-16,3.981383962813518e-16
0.04446788235425498,0.09999999045403153,2.1120843138286887e-16,3.9862649637347105e-16
0.044407996970629325,0.09999999017054427,2.1141979090463177e-16,3.9890617824666587e-16
0.04469537275025567,0.09999999048663614,2.1040339391364797e-16,3.9756714771135954e-16
0.04453009151776253,0.09999999018287208,2.1082912067912791e-16,3.981247991475787e-16
0.04412856185369412,0.09999999052266614,1.7603024983817313e-16,3.5218882639562966e-16
0.04364653672290999,0.09999999054240993,1.8364556154238646e-16,3.680294752761166e-16
0.043182712509849445,0.09999999020439335,1.1079340052807096e-16,3.176729823971247e-16
0.042947547585387436,0.09999999058540407,-2.7238811399618556e-17,9.182762355261979e-17
0.04279937354174555,0.09999999060852688,1.0357343276886302e-16,3.163782453977288e-16
0.04257445900611323,0.09999999063317827,-3.7696235413658487e-16,-3.451215615070817e-16
0.04234116402656605,0.09999999065952148,-2.7684366077751157e-16,-1.2072600412852295e-16
0.0421369657028982,0.09999999068774795,-2.254132825080703e-16,-2.278751856804334e-17
0.04197677111491218,0.09999999071808258,8.599805827968995e-17,2.533441895538874e-16
0.04186386380050389,0.09999999027237272,2.4032269588684162e-17,2.3794609057845027e-16
0.04201071162689114,0.09999999078460202,8.270823229876843e-17,2.284099361206207e-16
0.041977282578513804,0.09999999082113552,6.71921498215163e-17,2.0643253480761743e-16
0.0418475160184627,0.09999999086072998,-1.3520379242084906e-16,-6.942567317029483e-17
0.041684046084650116,0.09999999090381091,-1.2979444473174797e-16,-6.450600201501311e-17
0.04152693510405447,0.09999999034494426,-4.653588923597913e-16,-6.213321472798469e-16
0.04147976082197229,0.0999999910006357,-9.433360358381017e-17,-5.3918492731501016e-17
0.04143568054127513,0.09999999038221953,-2.326132467981791e-16,-1.7972458703851282e-16
0.04128550886007392,0.09999999111169898,6.703684487726969e-17,1.4813494180361144e-16
0.04109841161710627,0.0999999911757828,-8.251200108871213e-17,-5.556542924837557e-17
0.0409188503145211,0.099999991246822,-1.4073025869942512e-16,-1.748932142929472e-16
0.04080094364846123,0.09999999132067545,-1.3551528323230504e-16,-1.6800191366301755e-16
0.04062401149103963,0.09999999140148551,-2.987232106308782e-17,1.5626330644089142e-17
0.04040728840006332,0.09999999149167597,-7.630492405841664e-17,-9.773783950895845e-17
0.04019087309712141,0.09999999159301914,-6.9153550008071725e-18,4.37147345906626e-17
0.03996395939328267,0.09999999061774917,4.068483841718822e-17,1.0685194687113948e-16
0.03970610383525906,0.09999999066037328,-1.1712245543657002e-17,3.158075386343578e-17
0.03944295550737475,0.09999999070875268,7.848088860321986e-17,1.6304242437153472e-16
0.03919020733712592,0.09999999076415798,5.936348007934074e-17,1.3617885839192258e-16
0.03892063090827516,0.09999999227877769,-1.233272583041707e-16,-2.801920738902451e-16
0.03855357705294112,0.09999999246168881,1.055683442349027e-16,1.9926546570784524e-16
0.03823211549311483,0.09999999267448086,-2.3590259912877592e-18,-1.758007248053993e-17
0.03794046395383667,0.09999999292520685,1.0562205297636367e-16,1.9933685843420924e-16
0.03763597208672378,0.09999999116798691,-9.193075457606867e-19,-1.5666781594260382e-17
0.037177046306696326,0.099999993535709,1.0562485328104181e-16,1.9934059553345722e-16
0.03681105130739411,0.09999999391823643,9.293076108536502e-17,1.8238601672320336e-16
0.03649269735418939,0.09999999439023749,-5.750802746164431e-17,-1.0960047456903418e-16
0.0361209527975335,0.09999999495770835,1.0560322883515587e-16,1.993118803199597e-16
0.035644032577161,0.09999999560739731,-1.116280007465479e-16,-1.3617594540849105e-16
0.03527987976614505,0.09999999644920897,8.925349255909558e-17,1.7762596499756304e-16
0.03496451581604882,0.09999999758270024,7.83989157631965e-17,1.6322068566433477e-16
0.034486841337309705,0.09999999892231061,7.754433410677401e-17,1.6208725561019115e-16
0.034118225109908966,0.10000000077183144,6.052435257644979e-17,1.394126434914718e-16
0.033829912096554525,0.10000000358126501,-1.8700807481064617e-16,-2.1589217626782677e-16
0.03343155093926706,0.10000000726926628,3.1141082483724544e-17,1.0186115524659684e-16
0.033160863875365244,0.10000001346622119,-9.357386808928837e-17,-5.2911043102725295e-17
0.032932074247603714,0.10000002443015818,-9.347047541449684e-17,-5.277369916644716e-17
0.032741116093110444,0.1000000464915901,6.259617847551383e-17,1.423538172965247e-16
0.03265208851562232,0.10000011152889089,2.900120177990968e-18,6.331002516144416e-17
0.03264264369225004,0.10000148354094543,5.913341462037352e-17,1.3756357829221342e-16
0.03274206092193464,0.1035909370875972,-6.670090814511656e-18,4.9405871086073695e-17
0.03293275772520284,0.10651883382303835,-4.370887335222524e-16,-6.26576856314922e-16
0.03317346406698049,0.10764495746915918,-2.5940601568513707e-16,-1.7924566871893976e-16
0.03342773502305986,0.10772779303251707,-1.7398713697495974e-16,-1.3721204787621989e-16
0.03366658790143727,0.10780037201301054,-2.1523428290615038e-17,3.414173238538276e-17
0.033870050787883556,0.10786096882705132,-2.21819549468748e-16,-2.323009099379906e-16
0.03403181282355146,0.10790901163990942,8.209761032512237e-17,1.6808325934466864e-16
0.03415424753618381,0.10794476051850939,-7.631093673761907e-18,4.2763559395820755e-17
0.034244131667450106,0.10796919900214985,-1.2312844162890195e-16,-1.5150075052712315e-16
0.03430957083189842,0.1079877206339836,0.09906233449965754,0.2700843620545638
0.03437569468122721,0.10798941887108984,0.09683171920674943,0.2442328769490001
0.03462962848309758,0.10797143079942931,0.09491986808833582,0.22032774113265732
0.03529875264829873,0.1078928885412375,0.08831245579649612,0.1988397835693995
0.03637049347780613,0.10770333155291302,0.08206286695170119,0.1797802982118576
0.0375144167117092,0.10732893932127499,0.07646028229400077,0.16308539328316715
0.03814970352349273,0.10663761470062993,0.07116591577689602,0.14855643418884687
0.037586419588008194,0.10554280262160692,0.06606375575226994,0.1360622899895443
0.03517285698097693,0.10397113128287395,0.06087374940503203,0.12521817480404754
0.03048421885673679,0.10191402257168729,0.05536509142627456,0.11559321222515263
0.02349753342129591,0.10000024857428207,0.04936667939016093,0.1067447044567754
0.014589933014207735,0.10000001058752292,0.013182664895047297,0.028234343313112517
0.004349801871032572,0.10000001277278066,0.009513375463276819,0.02811036976875009
-0.005800780286286386,0.1000000027398596,0.004515556835921063,0.02648952101649586
-0.013997789654947596,0.09999999887867822,-0.0016481532366372307,0.023092127428510367
-0.019196471263507316,0.09999999699664101,-0.008749187401078514,0.017795195838322696
-0.020632145340268162,0.09999999607886836,-0.016511350836638343,0.010624958580466248
-0.01812655583065659,0.09999999574878521,-0.024632254200604796,0.001735779694278053
-0.012165271218569598,0.09999999210925756,-0.032804862900762254,-0.008618097198139444
-0.0032602913260590958,0.09999999232061216,-0.04073703817493176,-0.02011299512127748
0.007436733601538111,0.09999999761134137,-0.04816738231712059,-0.032385132600229245
0.019070264475635253,0.09999999368113531,-0.05487688922589152,-0.04505617419359755
0.030588506768179452,0.09999999546596554,-0.06069579090496233,-0.05775377733091366
0.041740440280679754,0.10000000021520539,-0.06550601484039312,-0.07012682089083296
0.0520566174410525,0.10000002495698981,-0.06924007618794768,-0.08185636850586213
0.061224769545240844,0.10710696493689358,-0.07187739635612561,-0.09266358238745996
0.06889054602278644,0.11747226593466704,-0.07343874546670429,-0.10231511626342155
0.07465339328853166,0.1228334376341454,-0.07397974793181707,-0.11062708643794977
